id,created_at,trigger_type,trigger_words,response_text
261,2025-06-02T12:48:44.753592,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
262,2025-06-02T12:48:44.753597,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
263,2025-06-02T12:48:44.753618,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
264,2025-06-02T12:48:44.753624,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
265,2025-06-02T12:48:44.753629,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
266,2025-06-02T12:48:44.753634,thanks,"{much appreciated,thanks a lot}",Glad I could help!
267,2025-06-02T12:48:44.753639,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
268,2025-06-02T12:48:44.753644,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
269,2025-06-02T12:48:44.753650,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
270,2025-06-02T12:48:44.753656,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
271,2025-06-02T12:48:44.753661,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
272,2025-06-02T12:48:44.753670,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
273,2025-06-02T12:48:44.753675,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
274,2025-06-02T12:48:44.753681,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
275,2025-06-02T12:48:44.753686,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
276,2025-06-02T12:48:44.753691,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
277,2025-06-02T12:48:44.753697,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
278,2025-06-02T12:48:44.753702,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
279,2025-06-02T12:48:44.753707,thanks,"{much appreciated,thanks a lot}",Glad I could help!
280,2025-06-02T12:48:44.753713,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
281,2025-06-02T12:48:44.753718,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
282,2025-06-02T12:48:44.753723,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
283,2025-06-02T12:48:44.753729,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
284,2025-06-02T12:48:44.753734,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
285,2025-06-02T12:48:44.753740,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
286,2025-06-02T12:48:44.753746,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
287,2025-06-02T12:48:44.753752,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
288,2025-06-02T12:48:44.753756,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
289,2025-06-02T12:48:44.753762,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
290,2025-06-02T12:48:44.753767,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
291,2025-06-02T12:48:44.753772,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
292,2025-06-02T12:48:44.753777,thanks,"{much appreciated,thanks a lot}",Glad I could help!
293,2025-06-02T12:48:44.753783,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
294,2025-06-02T12:48:44.753789,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
295,2025-06-02T12:48:44.753803,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
296,2025-06-02T12:48:44.753809,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
297,2025-06-02T12:48:44.753814,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
298,2025-06-02T12:48:44.753820,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
299,2025-06-02T12:48:44.753825,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
300,2025-06-02T12:48:44.753832,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
301,2025-06-02T12:48:44.753837,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
302,2025-06-02T12:48:44.753843,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
303,2025-06-02T12:48:44.753848,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
304,2025-06-02T12:48:44.753853,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
305,2025-06-02T12:48:44.753858,thanks,"{much appreciated,thanks a lot}",Glad I could help!
306,2025-06-02T12:48:44.753864,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
307,2025-06-02T12:48:44.753869,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
308,2025-06-02T12:48:44.753874,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
309,2025-06-02T12:48:44.753879,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
310,2025-06-02T12:48:44.753886,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
311,2025-06-02T12:48:44.753892,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
312,2025-06-02T12:48:44.753898,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
313,2025-06-02T12:48:44.753904,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
314,2025-06-02T12:48:44.753909,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
315,2025-06-02T12:48:44.753913,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
316,2025-06-02T12:48:44.753918,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
317,2025-06-02T12:48:44.753925,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
318,2025-06-02T12:48:44.753930,thanks,"{much appreciated,thanks a lot}",Glad I could help!
319,2025-06-02T12:48:44.753935,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
320,2025-06-02T12:48:44.753949,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
321,2025-06-02T12:48:44.753955,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
322,2025-06-02T12:48:44.753960,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
323,2025-06-02T12:48:44.753966,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
324,2025-06-02T12:48:44.753971,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
325,2025-06-02T12:48:44.753979,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
326,2025-06-02T12:48:44.753984,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
327,2025-06-02T12:48:44.753990,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
328,2025-06-02T12:48:44.753995,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
329,2025-06-02T12:48:44.754000,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
330,2025-06-02T12:48:44.754005,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
331,2025-06-02T12:48:44.754010,thanks,"{much appreciated,thanks a lot}",Glad I could help!
332,2025-06-02T12:48:44.754016,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
333,2025-06-02T12:48:44.754021,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
334,2025-06-02T12:48:44.754026,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
335,2025-06-02T12:48:44.754031,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
336,2025-06-02T12:48:44.754036,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
337,2025-06-02T12:48:44.754041,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
338,2025-06-02T12:48:44.754046,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
339,2025-06-02T12:48:44.754051,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
340,2025-06-02T12:48:44.754056,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
341,2025-06-02T12:48:44.754061,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
342,2025-06-02T12:48:44.754066,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
343,2025-06-02T12:48:44.754070,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
344,2025-06-02T12:48:44.754075,thanks,"{much appreciated,thanks a lot}",Glad I could help!
345,2025-06-02T12:48:44.754080,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
346,2025-06-02T12:48:44.754085,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
347,2025-06-02T12:48:44.754090,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
348,2025-06-02T12:48:44.754095,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
349,2025-06-02T12:48:44.754101,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
350,2025-06-02T12:48:44.754106,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
351,2025-06-02T12:48:44.754111,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
352,2025-06-02T12:48:44.754115,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
353,2025-06-02T12:48:44.754117,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
354,2025-06-02T12:48:44.754121,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
355,2025-06-02T12:48:44.754124,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
356,2025-06-02T12:48:44.754126,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
357,2025-06-02T12:48:44.754130,thanks,"{much appreciated,thanks a lot}",Glad I could help!
358,2025-06-02T12:48:44.754133,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
359,2025-06-02T12:48:44.754137,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
360,2025-06-02T12:48:44.754139,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
361,2025-06-02T12:48:44.754143,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
362,2025-06-02T12:48:44.754145,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
363,2025-06-02T12:48:44.754148,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
364,2025-06-02T12:48:44.754151,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
365,2025-06-02T12:48:44.754154,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
366,2025-06-02T12:48:44.754156,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
367,2025-06-02T12:48:44.754159,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
368,2025-06-02T12:48:44.754161,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
369,2025-06-02T12:48:44.754165,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
370,2025-06-02T12:48:44.754167,thanks,"{much appreciated,thanks a lot}",Glad I could help!
371,2025-06-02T12:48:44.754173,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
372,2025-06-02T12:48:44.754175,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
373,2025-06-02T12:48:44.754178,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
374,2025-06-02T12:48:44.754181,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
375,2025-06-02T12:48:44.754184,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
376,2025-06-02T12:48:44.754186,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
377,2025-06-02T12:48:44.754189,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
378,2025-06-02T12:48:44.754192,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
379,2025-06-02T12:48:44.754194,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
380,2025-06-02T12:48:44.754197,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
381,2025-06-02T12:48:44.754201,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
382,2025-06-02T12:48:44.754203,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
383,2025-06-02T12:48:44.754206,thanks,"{much appreciated,thanks a lot}",Glad I could help!
384,2025-06-02T12:48:44.754208,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
385,2025-06-02T12:48:44.754211,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
386,2025-06-02T12:48:44.754214,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
387,2025-06-02T12:48:44.754217,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
388,2025-06-02T12:48:44.754219,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
389,2025-06-02T12:48:44.754223,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
390,2025-06-02T12:48:44.754226,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
391,2025-06-02T12:48:44.754229,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
392,2025-06-02T12:48:44.754231,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
393,2025-06-02T12:48:44.754234,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
394,2025-06-02T12:48:44.754236,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
395,2025-06-02T12:48:44.754239,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
396,2025-06-02T12:48:44.754241,thanks,"{much appreciated,thanks a lot}",Glad I could help!
397,2025-06-02T12:48:44.754244,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
398,2025-06-02T12:48:44.754246,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
399,2025-06-02T12:48:44.754249,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
400,2025-06-02T12:48:44.754252,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
401,2025-06-02T12:48:44.754255,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
402,2025-06-02T12:48:44.754259,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
403,2025-06-02T12:48:44.754262,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
404,2025-06-02T12:48:44.754265,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
405,2025-06-02T12:48:44.754267,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
406,2025-06-02T12:48:44.754270,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
407,2025-06-02T12:48:44.754272,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
408,2025-06-02T12:48:44.754275,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
409,2025-06-02T12:48:44.754278,thanks,"{much appreciated,thanks a lot}",Glad I could help!
410,2025-06-02T12:48:44.754280,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
411,2025-06-02T12:48:44.754283,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
412,2025-06-02T12:48:44.754285,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
413,2025-06-02T12:48:44.754288,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
414,2025-06-02T12:48:44.754291,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
415,2025-06-02T12:48:44.754294,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
416,2025-06-02T12:48:44.754297,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
417,2025-06-02T12:48:44.754299,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
418,2025-06-02T12:48:44.754302,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
419,2025-06-02T12:48:44.754305,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
420,2025-06-02T12:48:44.754307,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
421,2025-06-02T12:48:44.754311,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
422,2025-06-02T12:48:44.754315,thanks,"{much appreciated,thanks a lot}",Glad I could help!
423,2025-06-02T12:48:44.754320,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
424,2025-06-02T12:48:44.754324,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
425,2025-06-02T12:48:44.754329,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
426,2025-06-02T12:48:44.754334,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
427,2025-06-02T12:48:44.754338,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
428,2025-06-02T12:48:44.754343,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
429,2025-06-02T12:48:44.754349,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
430,2025-06-02T12:48:44.754354,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
431,2025-06-02T12:48:44.754360,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
432,2025-06-02T12:48:44.754365,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
433,2025-06-02T12:48:44.754370,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
434,2025-06-02T12:48:44.754374,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
435,2025-06-02T12:48:44.754379,thanks,"{much appreciated,thanks a lot}",Glad I could help!
436,2025-06-02T12:48:44.754383,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
437,2025-06-02T12:48:44.754388,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
438,2025-06-02T12:48:44.754393,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
439,2025-06-02T12:48:44.754398,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
440,2025-06-02T12:48:44.754404,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
441,2025-06-02T12:48:44.754409,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
442,2025-06-02T12:48:44.754414,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
443,2025-06-02T12:48:44.754419,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
444,2025-06-02T12:48:44.754424,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
445,2025-06-02T12:48:44.754433,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
446,2025-06-02T12:48:44.754438,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
447,2025-06-02T12:48:44.754443,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
448,2025-06-02T12:48:44.754448,thanks,"{much appreciated,thanks a lot}",Glad I could help!
449,2025-06-02T12:48:44.754452,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
450,2025-06-02T12:48:44.754457,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
451,2025-06-02T12:48:44.754461,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
452,2025-06-02T12:48:44.754466,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
453,2025-06-02T12:48:44.754473,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
454,2025-06-02T12:48:44.754478,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
455,2025-06-02T12:48:44.754482,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
456,2025-06-02T12:48:44.754488,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
457,2025-06-02T12:48:44.754493,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
458,2025-06-02T12:48:44.754500,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
459,2025-06-02T12:48:44.754504,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
460,2025-06-02T12:48:44.754509,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
461,2025-06-02T12:48:44.754514,thanks,"{much appreciated,thanks a lot}",Glad I could help!
462,2025-06-02T12:48:44.754519,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
463,2025-06-02T12:48:44.754524,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
464,2025-06-02T12:48:44.754528,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
465,2025-06-02T12:48:44.754533,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
466,2025-06-02T12:48:44.754537,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
467,2025-06-02T12:48:44.754542,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
468,2025-06-02T12:48:44.754548,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
469,2025-06-02T12:48:44.754555,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
470,2025-06-02T12:48:44.754560,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
471,2025-06-02T12:48:44.754564,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
472,2025-06-02T12:48:44.754569,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
473,2025-06-02T12:48:44.754574,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
474,2025-06-02T12:48:44.754578,thanks,"{much appreciated,thanks a lot}",Glad I could help!
475,2025-06-02T12:48:44.754583,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
476,2025-06-02T12:48:44.754587,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
477,2025-06-02T12:48:44.754593,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
478,2025-06-02T12:48:44.754598,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
479,2025-06-02T12:48:44.754604,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
480,2025-06-02T12:48:44.754609,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
481,2025-06-02T12:48:44.754615,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
482,2025-06-02T12:48:44.754620,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
483,2025-06-02T12:48:44.754625,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
484,2025-06-02T12:48:44.754630,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
485,2025-06-02T12:48:44.754636,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
486,2025-06-02T12:48:44.754641,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
487,2025-06-02T12:48:44.754645,thanks,"{much appreciated,thanks a lot}",Glad I could help!
488,2025-06-02T12:48:44.754650,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
489,2025-06-02T12:48:44.754655,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
490,2025-06-02T12:48:44.754660,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
491,2025-06-02T12:48:44.754665,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
492,2025-06-02T12:48:44.754670,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
493,2025-06-02T12:48:44.754676,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
494,2025-06-02T12:48:44.754681,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
495,2025-06-02T12:48:44.754687,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
496,2025-06-02T12:48:44.754692,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
497,2025-06-02T12:48:44.754697,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
498,2025-06-02T12:48:44.754702,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
499,2025-06-02T12:48:44.754707,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
500,2025-06-02T12:48:44.754712,thanks,"{much appreciated,thanks a lot}",Glad I could help!
501,2025-06-02T12:48:44.754717,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
502,2025-06-02T12:48:44.754721,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
503,2025-06-02T12:48:44.754726,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
504,2025-06-02T12:48:44.754732,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
505,2025-06-02T12:48:44.754737,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
506,2025-06-02T12:48:44.754743,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
507,2025-06-02T12:48:44.754747,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
508,2025-06-02T12:48:44.754753,greeting,"{hi,hello,hey,good morning,good evening}",Hello! How can I help you today?
509,2025-06-02T12:48:44.754761,greeting,"{yo,hiya,howdy,what's up,sup}",Hey there! What's up?
510,2025-06-02T12:48:44.754766,goodbye,"{bye,goodbye,see you,later,cya}",Goodbye! Have a great day!
511,2025-06-02T12:48:44.754771,goodbye,"{take care,farewell,see ya}",Take care! Talk to you soon.
512,2025-06-02T12:48:44.754777,thanks,"{thanks,thank you,thx,ty}",You're welcome! 😊
513,2025-06-02T12:48:44.754782,thanks,"{much appreciated,thanks a lot}",Glad I could help!
514,2025-06-02T12:48:44.754786,affirmation,"{yes,yeah,yep,of course,sure}",Great! Let's continue.
515,2025-06-02T12:48:44.754791,affirmation,"{absolutely,definitely,sure thing}","Perfect, let's do it."
516,2025-06-02T12:48:44.754796,negation,"{no,nope,nah,not really}",No worries! Let me know if you change your mind.
517,2025-06-02T12:48:44.754802,help,"{help,assist,need help,can you help,i need assistance}",Sure! I'm here to assist. What do you need help with?
518,2025-06-02T12:48:44.754807,confusion,"{what,huh,idk,what do you mean,i don't get it}",Let me explain that more clearly...
519,2025-06-02T12:48:44.754827,feedback_positive,"{great,awesome,cool,nice,well done}",Thanks! Glad you liked it.
520,2025-06-02T12:48:44.754834,feedback_negative,"{bad,terrible,not good,worst}",I'm sorry to hear that. I'll try to improve.
